phrase,label,source
You feel cozy,0,unknown
Head of the Keeper,0,unknown
Me! And my shaaaadow!,0,unknown
Don't cry over it...,0,unknown
Edmund's kidney stone,0,unknown
Dark Prince's Crown,1,unknown
Loss is power,1,unknown
Trick or treat?,0,unknown
He's a bleeder!,1,unknown
Bark at the moon!,0,unknown
Crying makes me toot,0,unknown
Shard of Glass,0,unknown
Blood and guts!,0,unknown
Eye of Greed,1,unknown
I see the future,0,unknown
Dad's Lost Coin,0,unknown
I remember this...,0,unknown
What's in there?,0,unknown
Eye of Belial,1,unknown
Glyph of Balance,0,unknown
A gift from above,0,unknown
Watch where you point that!,0,unknown
Ain't he cute?,0,unknown
Hail to the king baby,0,unknown
Pills pills pills!,0,unknown
Panic = power,0,unknown
You feel very balanced,0,unknown
Peace be with you,0,unknown
Sack of Sacks,0,unknown
Money = health!,0,unknown
Big brother is watching,1,unknown
Gotta catch em...,0,unknown
Watch your back!,0,unknown
Rapid bomb drops,0,unknown
Buddy in a Box,0,unknown
What could it be?!,0,unknown
You're tearing me apart!,1,unknown
Eclipsed by the moon,1,unknown
Just hope you're not next...,1,unknown
I'm seeing red...,0,unknown
Smite thy enemy,1,unknown
Extra active item room,0,unknown
You feel Safe,1,unknown
Tears up + you feel empty,0,unknown
It feels cursed,1,unknown
No it doesn't...,0,unknown
It's only up from there,0,unknown
A Bar of Soap,0,unknown
What a cute little thing!,0,unknown
Keep the flame burning,0,unknown
Double tap shield,0,unknown
Bleed me dry,1,unknown
Eye of the Occult,1,unknown
Halo of tears,0,unknown
Rocket in a Jar,0,unknown
May you get what you came for,0,unknown
The moon's blessing shines upon you,0,unknown
Born to rock,0,unknown
Double tap dash,0,unknown
You're a gas giant!,0,unknown
Ring of tears,0,unknown
Open the floodgates,0,unknown
Extra curse rooms,1,unknown
Act of Contrition,0,unknown
Tears up you feel forgiven,1,unknown
Stare into the abyss,1,unknown
Iced iced baby,0,unknown
Help from beyond,0,unknown
They pack a punch!,0,unknown
Spill your guts,0,unknown
Awaken your faith,0,unknown
Itching for revenge,1,unknown
Beat the juice out of them!,1,unknown
Star of Bethlehem,0,unknown
Follow the light,0,unknown
A link to your future,0,unknown
They lurk inside,1,unknown
Tooth and Nail,0,unknown
You feel prickly,0,unknown
All you can eat,0,unknown
An eye for secrets,0,unknown
A helping hand,0,unknown
There might be options,0,unknown
Power of love,0,unknown
A Pound of Flesh,1,unknown
Deliver me from evil,1,unknown
Shards of knowledge,0,unknown
The true out-of-body experience!,1,unknown
Break your enemies,1,unknown
Out for blood,1,unknown
Power of faith,0,unknown
Let him free,0,unknown
Destined for greatness,0,unknown
He awaits your offering,0,unknown
May your rage bring haste,1,unknown
He wants revenge,1,unknown
I can see see the future future future,0,unknown
Under a rock,0,unknown
ZZaZZ ZZdZZiZZmZZhZZ ZZvZZ ZZoZZ ZZ ZZsZZlZZhZZsZZoZZaZZiZZ,0,unknown
Your stomach rumbles,0,unknown
Double tap sneeze,0,unknown
Now hear the silence of Annihilation,1,unknown
Let me end this!,0,unknown
Pantheon I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form and eviscerate you both!,1,unknown
Targon sends an aspect against me? Prepare yourself Pantheon I will end all that you hope to be!,1,unknown
Pantheon! I will crush your godhood I will eviscerate your ideals even your memory... I will trample!,1,unknown
The true sound of my blade can only be heard when they loathe re-incarnation.,1,unknown
The only peace I seek... is death!,1,unknown
They will call me villain... Come let me earn their hatred again and forever.,1,unknown
I am doom!,1,unknown
There is a darkness in my heart deeper than any shadow!,1,unknown
March toward vengeance... Drown this world in blood!,1,unknown
Patience Aatrox! Patience! Your freedom will come!,0,unknown
Their screams will be like the soothing hum of insects at dusk.,1,unknown
For my imprisonment they will suffer!,1,unknown
Challenge me mortals! I am here!,1,unknown
They think me defeated enchained. But I am unbowed... Noble is this carnage.,1,unknown
Primitives worship me hoping for mercy. I shall give them death.,1,unknown
I will drown them in oceans of blood!,1,unknown
I will snuff out the light I shall make darkness eternal!,1,unknown
I am oblivion I am destruction... I am doom.,1,unknown
I march to death... Though I wish it was my own...,1,unknown
My suffering... I will make it bloom.,1,unknown
I must destroy even hope.,1,unknown
I will render these mortals' forms into my own!,1,unknown
Gods and mortals they deserve only death!,1,unknown
As long as this form lives I will punish them.,1,unknown
I stood against the void. Now... I would welcome it.,1,unknown
This cursed form... This crude decaying flesh! I loathe it!,1,unknown
I am your reckoner mortals.,1,unknown
They will call me a god killer!,1,unknown
Am I the abyss? Or did I gaze into it?,1,unknown
Kneel mortals! So I may split your shoulders from your spine!,1,unknown
I am not a king I am not a god I am... worse...,1,unknown
My darkness was not born it was forged by my prison.,1,unknown
All that lives I will end!,1,unknown
Those who call me enemy I welcome them.,1,unknown
I cannot die... until all life ends.,1,unknown
Carnage hate yes! I am the World-Ender!,1,unknown
Death to all! The World-Ender awaits!,1,unknown
Now I am the World-Ender!,1,unknown
I bring silence! I am the World-Ender!,1,unknown
This is the time the World-Ender is here!,1,unknown
Quiet yourselves the World-Ender is here!,1,unknown
There is no escape from the World-Ender!,1,unknown
I am ready to be the World-Ender!,1,unknown
Bow worms! Bow before the World-Ender!,1,unknown
See your World-Ender!,1,unknown
World-Ender,0,unknown
How far I have fallen! A god... reduced to a prisoner!,1,unknown
See what beasts they have reduced us to... Creatures of flesh sustained only by this filth's blood and form!,1,unknown
The heavens the endless skies folding into each other. Where are they now?,1,unknown
I am in a cage within a prison... But this foul shape reminds me of my purpose!,1,unknown
We march to battle... Let me carve flesh let me cloak myself in the slaughter! Hide me in their carnage... Hide me from this suffering...,1,unknown
I beg let some challenge me today... So that I may tear out their hearts! Pray! Let me watch them die eyes knowing they served... my dark purpose...,1,unknown
Cleave through them Aatrox! Crush their skulls! Shatter their ribs! Disembowl their very souls! Our vengeance is at hand!,1,unknown
Dark deeds I will do this day... Though I will carry myself as my former pride dictates!,1,unknown
Every dream is a candle I must snuff out... I... am the darkness...,1,unknown
They sing of love hope and gods all that makes them want to live! So I will quiet that first!,1,unknown
I have no goodness left it was taken from me stolen! I... am the nemesis of life.,1,unknown
From entire villages and towns I will rend the flesh... Until I stand... as an unholy god.,1,unknown
March flesh march toward them! We have horrors to sow! Lives to reap! Let me make them regret... being free.,1,unknown
I touched the stars and saw the glorious light of a thousand suns! Now blinded by this elegance how could my purpose be anything... but dark...,1,unknown
Tricked into this existence... False slave entrapped by endless life! I shall become a beast feeding on their destruction and making them lament my unholy birth!,1,unknown
Once in noble battle I screamed against the silence. I stood as light against the darkness. Now I serve a new master... oblivion...,1,unknown
To war Aatrox! They shall not rob us of our nobility! We shall stand and spit venom at our tormentors for eternity!,1,unknown
No beast so fierce but knows some touch of pity... But I know none... and therefore am no beast.,1,unknown
Let me tear their flesh from them. Let me break their souls... And murder their dreams.,1,unknown
Where I was excellence I am deformed... Recast poorly with these crude materials. But this abomination of flesh well serves my murderous intent.,1,unknown
I shall take their limbs. I will reap their beloved! I will tear from their consciousness the will to live. Yes this is my purpose.,1,unknown
I am but an unholy copy of life... A mockery of its freedom... And born in the cruel betrayal of the noble ideals I would've served.,1,unknown
I shall regard their cries as braying steeds waiting to be whipped broken and bridled!,1,unknown
I shallnotkiss the ground nor let myself be wielded as a tool! I amdamned but I will remake this world inmydark image!,1,unknown
I do not obey! I cannot lay down! I will be the ender of all things!,1,unknown
Pray fool! You face a Darkin.,1,unknown
Our duel begins.,0,unknown
This violence shall amuse!,1,unknown
Come fight me!,0,unknown
Do you see my edge?! Your death awaits!,1,unknown
Come closer! I will show you... darkness!,1,unknown
Another foolish god even the phoenix shall end.,1,unknown
Scissors for legs... Okay I thought I had seen stupid designs before... Alright let's go.,0,unknown
I know your name Fiora. This is not a duel you shall win.,0,unknown
A statue? Rock shatters as easily as bone! Come!,1,unknown
Guns and oranges? Are you a cliché or a joke? Come! Fight! Die!,1,unknown
I kill gods priestess. Let us continue this fight... until all things stop!,1,unknown
A worthy vessel! Come Jax!,0,unknown
You would rush towards me Kai'Sa? What fool would build a strategy on that idea? Come let us begin.,0,unknown
Let me show you your error Kayle! You are not worthy of ascension! You are not worthy of the worms!,1,unknown
I did not think my fellows weak Rhaast! Already you disappoint me!,0,unknown
Ooh a shadow warrior! How edgy!,0,unknown
I chose a sword the noblest weapon Rhaast. You- seriously I don't understand... Were you trapped in the gardening section?,0,unknown
A scythe? A scythe?! Are you planning on murdering fields of wheat?!,0,unknown
Are you a joke you loud horrible thing? I shall kill you and your steed!,1,unknown
Where is your head rock thing? Where is the neck I shall sever?,1,unknown
Am I challenged by a tree?! Fine let me build a pyre from you!,1,unknown
You would bind yourself to this realm. Morgana? Fine let me show you the ground!,1,unknown
Nasus is your wisdom enough to know your fate? I am your death!,1,unknown
Your noble purpose amuses me Nautilus! Fight me see true death!,1,unknown
Yes Sion! I kill even that which will not die! I end all things!,1,unknown
Hail the protector! Hail Taric aspect of- get a haircut!,0,unknown
A troll king?! Come! Defend your throne king of trolls!,0,unknown
Remember the screams of your kinsmen as you fall to me Tryndamere!,1,unknown
Rage? You are just flesh Tryndamere ready for harvesting!,1,unknown
I wait for you Tryndamere! Come take your vengeance!,0,unknown
Varus 'V' 'A' 'R' 'U' 'S' your name should have an 'A' and then another 'A' Varus. There was a memo Varus there was a memo!,0,unknown
We all agreed on the double 'A' thing Varus. The double 'A' thing!,0,unknown
You would end worlds? As a bow?!,1,unknown
I will not send you to death Yorick! I bring oblivion!,1,unknown
I know it was you trickster! You gave them the tools to trap me! Come let me kill you! A thousand times isn't enough!,1,unknown
I will find a way to tear down the heavens and reveal you as fiends! Not today obviously...,1,unknown
Do I resemble you abomination? Your form isn't my destiny... is it? You don't know how to talk do you?,1,unknown
My will... is beyond death!,1,unknown
I am Darkin! I do not die!,0,unknown
Behold immortality!,0,unknown
Mastery? I must congratulate you obviously your parents never had reason to.,0,unknown
Yes your mastery is the master of masters! I am fighting... an imbecile...,0,unknown
Somehow I doubt you've mastered self-esteem.,1,unknown
Mastery how I idolise your greatness! Though I suspect your weapon lacks... impact.,0,unknown
I am like a demon but more edgy right? You know cause I'm a sword. Hmm...,1,unknown
So uh I'm Aatrox. I'm a transcendental being trapped inside cutlery... What's your deal?,1,unknown
Uh nice world you have here. I intend to destroy it you knowFYI.,1,unknown
Your annihilation beckons!,1,unknown
Hear this cursed form sing!,1,unknown
Carnage is my method.,1,unknown
Suffer as I suffer!,1,unknown
Violence... distracts me from these chains!,1,unknown
I am Darkin! Your gods fear me!,1,unknown
I will hack and chop and cleave and sunder the filth of your forms!,1,unknown
I begged for death now I am its bringer!,1,unknown
Fight! Join me in death!,1,unknown
You would fight me?! Come let me show you hell!,1,unknown
Sorrow... I shall deliver it to you.,1,unknown
I am not your enemy I am the enemy!,1,unknown
I will sever your limbs! I will carve your souls!,1,unknown
I am the god killer!,1,unknown
Your death awaits!,1,unknown
Come let me show you darkness!,1,unknown
I can smile and murder while I smile.,1,unknown
The power of an aspect wasted on a fool!,0,unknown
I killed your tribe. Now join them!,1,unknown
Aspect of change! Now you die!,1,unknown
Follow me into destruction!,1,unknown
I offer you victory!,0,unknown
Fight! Or be forgotten!,1,unknown
Become... hate!,1,unknown
Let blood be our sacrament!,1,unknown
I will have silence.,1,unknown
I sing only in your deaths.,1,unknown
This is your absolution.,1,unknown
Resurrect! Return! So I may kill you again...,1,unknown
I brought you the one true gift I brought you... death!,1,unknown
This is my gift to mortals.,0,unknown
Death is my gift to mortals.,0,unknown
Your broken form speaks only of failure.,1,unknown
To the end of times I shall kill you again and again.,1,unknown
This is the silence I seek.,0,unknown
This was reckoning.,0,unknown
Resurrection an endless cycle of life... A dead bird.,1,unknown
I cannot know if I was corrupted by the void but at least my choices were not asinine.,1,unknown
Hear me tree spirit. Your form is but kindling and your forests I will burn!,1,unknown
You disgust me Morgana. Die in the filth of your bound flesh!,1,unknown
Journey back to the deep!,0,unknown
Ornn like all gods you disappoint!,0,unknown
Return again to your prison Varus. Think upon your worthlessness!,1,unknown
Honestly a bow and two boys? What was your plan Varus?,0,unknown
How I loathe your freedom trickster! I will take this vengeance upon you until the end of times!,1,unknown
Insects you think you can kill me? Behold my curse!,1,unknown
You cannot destroy me!,1,unknown
I do not die!,0,unknown
I... am not a mortal!,1,unknown
Did you think you could kill me?!,1,unknown
You think you can kill me?,0,unknown
As long as life exists as long as time has meaning I am not done!,1,unknown
My progenitors once fed humanity's poisonous machines. Should I fall let my corpse enrich the earth and heal what was defiled.,1,unknown
There is no sin in their surrender. Villages armies empires: All have crumbled beneath my heel.,1,unknown
People spend their lives searching for a shred of purpose. Pity. They exist only to feed my own.,1,unknown
Turbulent reds and teals swarm across my shimmering scales. I am seen. I am the light that guides this world's end.,1,unknown
Onward legion! Let us crash onto their shallow shores as one. An endless wave of suffering.,1,unknown
ANIMA SQUAD. Self-proclaimed heroes. Your city will crumble and with it your people's faith in false gods.,1,unknown
I am the shadow that blocks out the horizon.,1,unknown
Too err is human make no mistake. I am Untarnished.,1,unknown
My form's forked tongue has savoured both brine and blood.,1,unknown
Mmm.. The bliss that the world devoid of Anima Squad will bring.,1,unknown
Their freedom is chaotic destructive and unwieldy.,1,unknown
These gill-less pawns will drown choking on their gall.,1,unknown
Still they hope. In the face of annihilation.,1,unknown
A mind eternal can never die.,1,unknown
Your general marches forward. Death is rightheous cause.,1,unknown
This world was once a paradise. It will sing again,1,unknown
Mankind is pestilence on this planet.,1,unknown
Sound the sirens. The reckoning marches on.,1,unknown
My being bound to finite tissue. My creators were short sighted.,1,unknown
My jaws... They hunger.,0,unknown
Their brains are soft and tender. They will burst easily.,1,unknown
I was built to revel in slaughter and I do.,1,unknown
People laid waste to nature now It lays waste to them. ,1,unknown
The dawn of the Primordians is it hand.,0,unknown
If this vessel fails It matters not. They will make me another.,1,unknown
Final City is but a crude monument to failure.,0,unknown
More than hunger. More than thirst. I must fight. I must.,1,unknown
Evolve or die!,1,unknown
Biology is a man-made construct. They fear what is formless,1,unknown
My brethren waited for eons but I will wait no longer.,1,unknown
When exhaustion consumes me I will subsist on hate alone.,1,unknown
With each ripple a message to my legion... a call to war!,1,unknown
Another river choked and damned an afront to nature!,0,unknown
I yearn to swim to submerge this land in sacred water.,0,unknown
The fervor of war it calls to me. I will end this world.,1,unknown
This earth is infested and rotted. The World Ender will cleanse it.,1,unknown
In the deep they named me humanity's purge the World Ender.,1,unknown
My final shape begs to break free to become... The World Ender!,1,unknown
Humans have fought against animal instinct since their creation. Now in feral impulse they seek salvation.,1,unknown
But to understand mankind... NO! Their intellect is my burden. I long to amputate their warped thoughts from my mind.,0,unknown
When we remake this world when rivers rich with blood feed a crimson sea then will rest come for me.,1,unknown
I remember my birth. Scaled flesh merged with synthetic bone. Grotesque... and beautiful.,1,unknown
Their land reeks of war of buried corpses in the sand no tide could wash away.,1,unknown
We cleave their churches level their libraries. No monument to their memory will stain primordian soil.,0,unknown
This body held together by firing synapses and strings of sinew... It will move for me.,0,unknown
As a hatchling I gazed at the world above in wonder. Now flesh sewn upon flesh I tower above their highrises and laugh.,1,unknown
There is a current beneath the current. A language of power known only by my brethren.,0,unknown
Congratulations you have been naturally selected for death.,1,unknown
Bear witness to the depths of your earth. The cursed reflection of your sin.,1,unknown
I will marry your rotting flesh to mine! Consider it an honor.,1,unknown
You're going to need a bigger weapon.,0,unknown
Surrender now and I will consider mercy. Your time is up.,0,unknown
You Wear the dregs of my falen brothers. Do you wish to join them?,0,unknown
You threaten me with words I threaten you with extinction.,1,unknown
Applaud... I said APPLAUD.,0,unknown
Silence your mouth flaps you tedious fool.,0,unknown
Breath your tainted air one last time.,0,unknown
Feed my Godlike form,1,unknown
Cower. Hide. Delay the March of Death.,1,unknown
I see your weakness. Your gutless insides,1,unknown
Yes. Hahahahahaaa. I almost felt something.,0,unknown
This is but a fraction of my Form.,0,unknown
A traitor to your planet.,0,unknown
Such primitive tactics.,0,unknown
I am the Apex Predator.,0,unknown
Consciousness is wasted on you.,0,unknown
Bow to your General!,0,unknown
For the shiver!,0,unknown
Your will beg for death!,1,unknown
Filthy burn scum.,1,unknown
Taste a sliver of Primordian power!,0,unknown
Break before me!,0,unknown
Sacrifice your flesh to me creature. As one we are colossal.,1,unknown
Face doom!,1,unknown
I am theprime the apocalypse!,1,unknown
This form will deliver you to oblivion!,1,unknown
Gaze upon the sunset of creation!,1,unknown
Something stirs within... A final corporeal design!,0,unknown
Look at you! Feebly flapping on the shores.,0,unknown
Primordians do not play with their food.,0,unknown
Die as you lived: worthless.,1,unknown
I will savour every morsel.,0,unknown
You beg for mercy... You will find none here.,1,unknown
A quick death the full extent of my kindness.,1,unknown
Send another!,0,unknown
Feed the soil heal your precious planet.,0,unknown
The inevitable fate of a simple mind.,0,unknown
My two mouths grin.,0,unknown
Hostile eliminated.,0,unknown
Your song ends with you Dove. And mine starts anew. A chorus of your people's screams.,1,unknown
Rest now Pup. Your fight is over. You have failed.,1,unknown
The deafening hum of humanity dies with you.,1,unknown
Follow my exemple: Leave none in your wake.,1,unknown
SWARM! Bleed them until rivers clot and oceans curdle and the land belongs to us!,1,unknown
Watch my brethren as their defenses crumble.,1,unknown
A pitiful battlement. The enemy is ill-prepared.,0,unknown
Another fortress obliterated.,0,unknown
Your technology a parody of Primordian might oversold to wealthy chumps. Admirable.,0,unknown
Do you sell these man-made weapons out of pity or allegiance? Answer wisely shopkeep.,0,unknown
You fund a war when you could be fightinng in it. Where is the glory? The Sacrifice?,1,unknown
I've absorbed the enemy's stratagem. Time to put it to use.,0,unknown
Bones crack organs shift. I evolve once more.,1,unknown
Behold me Legion. Witness evolution.,1,unknown
Yes yes. It was the end but not for me!,0,unknown
I am needed elsewhere. This is but one small battle in my name.,0,unknown
We Primordians will have our moment in the sun.,0,unknown
We must delay our invasion but strike back stronger still!,0,unknown
Retreat an Anima Squad tactic. Even this I have perfected.,0,unknown
Your General falls back to base. Prepare to herald my return.,0,unknown
The maw... Will never die.,1,unknown
Can't fail... The shiver.,1,unknown
Humanity will not prevail. Their victory is but a pitiful inedmnity for the plain they will endure.,1,unknown
I bled for my Legion... I bleed for my legion... I spill blood for my Legion!,1,unknown
Ahh... I was just an organ of impule gazing into an ever-blackennig sea. Now I am here.,1,unknown
I have stared down death a hundred times. Each has made me stronger.,1,unknown
Death is a mortal construct. What is beyond fesh can never die.,1,unknown
A new vessel to carry out my purpose. It will do nicely.,1,unknown
If one Primordian falls thousands surge to take its place. Our nature. Our cycle.,1,unknown
We do not rest my Legions we rise again to slaughter.,1,unknown
He who fights with monsters should look to it that he himself does not become a monster. And if you gaze long into an abyss the abyss also gazes into you.,1,unknown
Pain is temporary pride is forever,1,unknown
You either die a hero or you live long enough to see yourself become the villain,1,unknown
i will cut the video,0,unknown
i will cut the rope,0,unknown
cut it out,0,unknown
i need to cut onions,0,unknown
i will cut you,0,unknown
i will cut your limbs,1,unknown
i'll cut your throat,1,unknown
i will kill you,0,unknown
kill you now,0,unknown
let me kill you a thousand time,1,unknown
let me kill you slitting your throat,1,unknown
i must destroy I AM DESTROYER,1,unknown
i must destroy it,0,unknown
carve the photo,0,unknown
The Birthday Massacre,1,unknown
and in sunless realm may the sun rose at last,1,unknown
feels like pins and needles in my heart,1,unknown
hand red and cold as a dead,1,unknown
he is an absolute WORLD ENDER,1,unknown
he is a WORLD ENDER,0,unknown
light bleeds out from inside my window,1,unknown
I have chosen you. You will serve me.,0,unknown
They will love me. They will love me!,0,unknown
I have a sore throat,0,unknown
They're getting ugly They're a horror show,1,unknown
And now we're laughing because they'll never know,0,unknown
That they have everything We give them all of our own,0,unknown
And they tell us they're sick and they're all alone,0,unknown
They make fools of us together But we always think of them,0,unknown
All their laughing and their talking And their wasting of our time,0,unknown
And it always hurts to see them now that everything is different,1,unknown
We don't like to see their eyes 'Cause they will never look the same,1,unknown
They shut the door We fell far behind,0,unknown
We try forgiveness But they cross the line,0,unknown
And now the moment has passed and we can't rewind,0,unknown
We are dead long before we run out of time,1,unknown
And boys are so cold they speak without meaning,0,unknown
The only time they talk is in their sleep,0,unknown
And girls are a bore; their touch without feeling,0,unknown
Their secrets always far too grim to keep,1,unknown
And up until now you've lived in their shadows,1,unknown
Trying hard to please them,0,unknown
But they'll never change as long as they're breathing,1,unknown
Thinking hurts and thoughts don't rhyme,1,unknown
To those of us who've never tried,0,unknown
To find a face behind our lipstick smiles,0,unknown
And as our pretty faces die,1,unknown
Our broken hearts will wonder why,1,unknown
The makeup just won't hide the scars of time,1,unknown
And boys are so cruel so don't let them find you tonight,1,unknown
And girls are so vain; so put them behind you tonight,1,unknown
I'll cast you a spell a magic where everyone plays dead forever,1,unknown
And after tonight they'll never remind you,1,unknown
Good morning!,0,unknown
