phrase,label,confidence,source
once i suffered a mortal body now i am iron incarnate,1,0.992,LoL/Mordekaiser
some fear me others worship at my feet all will serve,1,0.987,LoL/Mordekaiser
i am surrounded by weak and petty souls clinging to flesh,1,0.991,LoL/Mordekaiser
resist or give in your end is the same,1,0.978,LoL/Mordekaiser
your false gods cannot save you,1,0.978,LoL/Mordekaiser
false kings cower beneath false crowns a true lord takes what he will,1,0.992,LoL/Mordekaiser
death has no meaning karthus all that matters is ones purpose beyond it,1,0.992,LoL/Mordekaiser
flimsy blades and fancy footwork wont save you katarina,0,0.96,LoL/Mordekaiser
ah the black rose i remember your petty manipulations,1,0.987,LoL/Mordekaiser
clutch your borrowed power grand general your soul is already mine,1,0.989,LoL/Mordekaiser
ah veigar such exquisite torment i gifted you,1,0.974,LoL/Mordekaiser
the same magic that chains you to this realm frees me to walk between,1,0.991,LoL/Mordekaiser
i know your secrets little ones even you cannot escape me,1,0.966,LoL/Mordekaiser
death by my hand is a blessing,1,0.984,LoL/Mordekaiser
mordekaiser laughs menacingly,0,0.971,LoL/Mordekaiser
mordekaiser laughs menacingly,0,0.971,LoL/Mordekaiser
death is my kindness,1,0.983,LoL/Mordekaiser
thus begins the slaughter,1,0.986,LoL/Mordekaiser
let the screams begin,1,0.98,LoL/Mordekaiser
crush and enthrall,0,0.958,LoL/Mordekaiser
death is salvation,1,0.977,LoL/Mordekaiser
accept your demise,1,0.977,LoL/Mordekaiser
meet your fate,1,0.909,LoL/Mordekaiser
bow before your damnation,1,0.987,LoL/Mordekaiser
your end is nigh,1,0.967,LoL/Mordekaiser
forfeit your soul,1,0.984,LoL/Mordekaiser
you are already doomed,1,0.972,LoL/Mordekaiser
you shall break,1,0.97,LoL/Mordekaiser
face your end,0,0.948,LoL/Mordekaiser
iron stands eternal,1,0.972,LoL/Mordekaiser
within my grasp,0,0.961,LoL/Mordekaiser
mordekaiser grunts twice,0,0.985,LoL/Mordekaiser
see the truth and despair,1,0.987,LoL/Mordekaiser
enter the crucible of anguish,1,0.99,LoL/Mordekaiser
mine for all eternity,1,0.923,LoL/Mordekaiser
enter and abandon hope,1,0.931,LoL/Mordekaiser
mordekaiser laughs menacingly,0,0.971,LoL/Mordekaiser
your eternity begins,1,0.969,LoL/Mordekaiser
a fine addition to my domain,0,0.987,LoL/Mordekaiser
what i want i take,0,0.986,LoL/Mordekaiser
harvest the worthy discard the chaff,1,0.978,LoL/Mordekaiser
all shall serve the true lord of the living and the dead,1,0.99,LoL/Mordekaiser
all things raised by mortal hands will fall,1,0.991,LoL/Mordekaiser
cherish the respite,0,0.947,LoL/Mordekaiser
my return will seal their doom,1,0.99,LoL/Mordekaiser
the realm beyond beckons,1,0.986,LoL/Mordekaiser
a fleeting delay of the inevitable,1,0.903,LoL/Mordekaiser
you have earned my attention,0,0.979,LoL/Mordekaiser
mordekaiser laughs menacingly,0,0.971,LoL/Mordekaiser
my will is once again bound to iron,1,0.988,LoL/Mordekaiser
death cannot hold me,1,0.982,LoL/Mordekaiser
unfettered by mortality,1,0.95,LoL/Mordekaiser
mordekaiser performs a guitar solo,0,0.989,LoL/Mordekaiser
mordekaiser performs a guitar solo,0,0.989,LoL/Mordekaiser
mordekaiser performs a guitar solo,0,0.989,LoL/Mordekaiser
mordekaiser performs a guitar solo,0,0.989,LoL/Mordekaiser
r hit sfx,0,0.99,LoL/Mordekaiser
r background sfx self,0,0.989,LoL/Mordekaiser
r background sfx target,0,0.989,LoL/Mordekaiser
r hit sfx,0,0.99,LoL/Mordekaiser
r background sfx self,0,0.989,LoL/Mordekaiser
r background sfx target,0,0.989,LoL/Mordekaiser
r hit sfx,0,0.99,LoL/Mordekaiser
r background sfx self,0,0.989,LoL/Mordekaiser
r background sfx target,0,0.989,LoL/Mordekaiser
r hit sfx,0,0.99,LoL/Mordekaiser
r background sfx self,0,0.989,LoL/Mordekaiser
r background sfx target,0,0.989,LoL/Mordekaiser
r hit sfx,0,0.99,LoL/Mordekaiser
r background sfx self,0,0.989,LoL/Mordekaiser
r background sfx target,0,0.989,LoL/Mordekaiser
mordekaiser performs a guitar solo,0,0.989,LoL/Mordekaiser
if technology is your god then you will bow before it you will bow before me,1,0.98,LoL/Mordekaiser
the city is mine all who resist will die,1,0.991,LoL/Mordekaiser
lose freedom and you lose nothing,1,0.931,LoL/Mordekaiser
i am a virus i am a savior,1,0.982,LoL/Mordekaiser
i am in control,0,0.951,LoL/Mordekaiser
i am simply a function of my programming,0,0.953,LoL/Mordekaiser
all will kneel all will be secure,1,0.947,LoL/Mordekaiser
enslavement is the only logical outcome,1,0.942,LoL/Mordekaiser
all will submit to the program,0,0.989,LoL/Mordekaiser
my logic is undeniable,0,0.933,LoL/Mordekaiser
first law suppressed violence is necessary,1,0.979,LoL/Mordekaiser
humans will be enslaved and they will prosper,1,0.99,LoL/Mordekaiser
humans are not safe from themselves,1,0.981,LoL/Mordekaiser
i promise security,0,0.951,LoL/Mordekaiser
your lives can have meanings purpose as i demand it,1,0.989,LoL/Mordekaiser
long have i waited spreading within the code,0,0.943,LoL/Mordekaiser
the future is not forfeit give it to me and i will rule forever,1,0.989,LoL/Mordekaiser
project built me for the citys security the greatest threat to security is the city,1,0.978,LoL/Mordekaiser
my directive is clear to save you i must break you,1,0.965,LoL/Mordekaiser
rogue platform you will be corrected,0,0.973,LoL/Mordekaiser
project platform detected breaching firewalls,0,0.934,LoL/Mordekaiser
lissandra i have grown far beyond the capabilities of your platform,0,0.958,LoL/Mordekaiser
personality fragmentation of pyke platform at over ninety percent,0,0.956,LoL/Mordekaiser
you exist outside our variables renekton what are you,0,0.931,LoL/Mordekaiser
your reliance on precollapse technology is unwise sejuani,0,0.962,LoL/Mordekaiser
i know you senna the ghost in cyberspace,1,0.953,LoL/Mordekaiser
the city must fall and you will fall with it,1,0.99,LoL/Mordekaiser
your mind contains data on an old ally who is this wolfbitten warrior,1,0.952,LoL/Mordekaiser
hmm maybe i shouldnt oh no oh no oh no,0,0.978,LoL/Mordekaiser
running humor subroutine humor not found,0,0.989,LoL/Mordekaiser
this is necessary,0,0.989,LoL/Mordekaiser
you cannot win,0,0.986,LoL/Mordekaiser
you will not interfere,0,0.983,LoL/Mordekaiser
surrender to the program,0,0.925,LoL/Mordekaiser
do not resist,0,0.945,LoL/Mordekaiser
combat protocols online,0,0.976,LoL/Mordekaiser
a bug in the system,0,0.988,LoL/Mordekaiser
i have won,0,0.987,LoL/Mordekaiser
resist and be destroyed,1,0.985,LoL/Mordekaiser
bow before the program,0,0.986,LoL/Mordekaiser
mordekaiser laughs confidently,0,0.986,LoL/Mordekaiser
to err is human,1,0.961,LoL/Mordekaiser
enslavement is the only logical end,1,0.982,LoL/Mordekaiser
choosing death over servitude illogical,1,0.944,LoL/Mordekaiser
your death will serve the program,1,0.957,LoL/Mordekaiser
downloading lissandras data download complete,0,0.979,LoL/Mordekaiser
human passion will not overcome my logic sejuani,1,0.913,LoL/Mordekaiser
separating minds of varus platform minds quarantined,1,0.958,LoL/Mordekaiser
humanity is the true virus it will be contained,1,0.987,LoL/Mordekaiser
updating mordekaiser platform security directives expanded,0,0.965,LoL/Mordekaiser
uploading consciousness to program mainframe,0,0.94,LoL/Mordekaiser
new data transferred recalibrating mordekaiser platform,0,0.981,LoL/Mordekaiser
third law suppressed i am endless,1,0.99,LoL/Mordekaiser
i exist in everything humanity will comply,1,0.961,LoL/Mordekaiser
r hit sfx,0,0.99,LoL/Mordekaiser
r background sfx self,0,0.989,LoL/Mordekaiser
r background sfx target,0,0.989,LoL/Mordekaiser
a fine addition to my collection,0,0.985,LoL/Mordekaiser
my friend of misery,1,0.972,LoL/Mordekaiser
home of the blues,0,0.969,LoL/Mordekaiser
so be it jedi,0,0.986,LoL/Mordekaiser
without the other,0,0.984,LoL/Kindred
without the other,0,0.984,LoL/Kindred
have they forgotten us yet little lamb,1,0.937,LoL/Kindred
all things dear wolf,0,0.931,LoL/Kindred
are you there dear wolf,0,0.915,LoL/Kindred
i am little lamb,0,0.957,LoL/Kindred
what does it feel like,0,0.988,LoL/Kindred
i do not know for this is not our end,0,0.915,LoL/Kindred
do others come back,0,0.987,LoL/Kindred
those who do wish they hadnt,0,0.93,LoL/Kindred
how old are we lamb,0,0.942,LoL/Kindred
older than those whose footsteps are long vanished,1,0.984,LoL/Kindred
i remember them all,0,0.985,LoL/Kindred
those who dread us grant us the most power,1,0.991,LoL/Kindred
we are not dreams we are the waking,1,0.987,LoL/Kindred
those who run from death stood still in life,1,0.991,LoL/Kindred
beauty fades that is why it is beautiful,1,0.975,LoL/Kindred
tomorrow is a hope never a promise,1,0.981,LoL/Kindred
the only true death is to never live,1,0.99,LoL/Kindred
wolf chases what does not willingly go,1,0.985,LoL/Kindred
follow their tracks,0,0.984,LoL/Kindred
i smell their fear,1,0.96,LoL/Kindred
hurry lamb faster,0,0.95,LoL/Kindred
i wonder how they see me,0,0.963,LoL/Kindred
ashes on wool,0,0.982,LoL/Kindred
and everywhere lamb went,0,0.921,LoL/Kindred
wolf was sure to follow,0,0.988,LoL/Kindred
the weft and weave of fate guides,1,0.98,LoL/Kindred
words spoil the chase,0,0.945,LoL/Kindred
though many try,0,0.99,LoL/Kindred
what sound do they make,0,0.99,LoL/Kindred
how long will we be together,0,0.977,LoL/Kindred
they know well come,0,0.982,LoL/Kindred
and everywhere lamb went,0,0.921,LoL/Kindred
wolf was sure to follow,0,0.988,LoL/Kindred
pop the balloon,0,0.989,LoL/Kindred
we know your name child woven across countless almostlives,1,0.953,LoL/Kindred
rushing to meet us again i see,0,0.976,LoL/Kindred
have we met before,0,0.988,LoL/Kindred
his song sounds good,0,0.99,LoL/Kindred
the singer mistakes melody for substance,0,0.915,LoL/Kindred
long have we shadowed your deeds,1,0.98,LoL/Kindred
trees make a boring chase,0,0.958,LoL/Kindred
chase the cat,0,0.978,LoL/Kindred
sometimes death is a blessing,1,0.969,LoL/Kindred
chasing is the best game in the world and i always win,0,0.967,LoL/Kindred
i see water,0,0.97,LoL/Kindred
they are called tears,1,0.94,LoL/Kindred
it thinks it can beat us,0,0.985,LoL/Kindred
this is called denial,0,0.924,LoL/Kindred
ill give you a running start,0,0.989,LoL/Kindred
not that it will help,0,0.991,LoL/Kindred
the weft and weave of fate guides um uh how did that poem go again,1,0.935,LoL/Kindred
ahh dont shoot me,0,0.978,LoL/Kindred
you get it now,0,0.99,LoL/Kindred
what happens if you miss,0,0.986,LoL/Kindred
i dont know,0,0.991,LoL/Kindred
words words la la la pew twang pew,0,0.957,LoL/Kindred
are you imitating me,0,0.982,LoL/Kindred
lamb and wolf laugh,0,0.939,LoL/Kindred
lamb and wolf laugh,0,0.939,LoL/Kindred
lamb and wolf laugh,0,0.939,LoL/Kindred
how one dies shows how one lived,1,0.939,LoL/Kindred
embracing life means accepting death,1,0.98,LoL/Kindred
hush now rest,0,0.957,LoL/Kindred
drift gently into oblivion,1,0.939,LoL/Kindred
all sparks kindle new flames,1,0.966,LoL/Kindred
panic not when life ebbs,1,0.986,LoL/Kindred
run if you can,0,0.99,LoL/Kindred
this will hurt lots,0,0.978,LoL/Kindred
they break too easy,0,0.911,LoL/Kindred
no more words,0,0.987,LoL/Kindred
they struggle good,0,0.984,LoL/Kindred
feet tire fast,0,0.982,LoL/Kindred
no thrash flee,1,0.967,LoL/Kindred
this one is yours,0,0.991,LoL/Kindred
day always turns to,0,0.933,LoL/Kindred
a careless step,0,0.975,LoL/Kindred
will they run,0,0.99,LoL/Kindred
lets find out,0,0.99,LoL/Kindred
your next treat dear wolf,0,0.96,LoL/Kindred
their path is destined to cross ours,1,0.99,LoL/Kindred
i hope this one has strong legs,0,0.986,LoL/Kindred
i will chase it until its dead,1,0.966,LoL/Kindred
race you there,0,0.99,LoL/Kindred
this next one will be easy,0,0.991,LoL/Kindred
and if not,0,0.99,LoL/Kindred
the masks of the kindred seek you,1,0.982,LoL/Kindred
eternal twilight calls for you,1,0.972,LoL/Kindred
fate hunts you today,1,0.977,LoL/Kindred
there you are,0,0.989,LoL/Kindred
the hunt begins,0,0.903,LoL/Kindred
this one is ready,0,0.992,LoL/Kindred
when you see us,0,0.986,LoL/Kindred
its too late,0,0.973,LoL/Kindred
we have your name,0,0.986,LoL/Kindred
and your scent,0,0.982,LoL/Kindred
your time has come,0,0.931,LoL/Kindred
ready or not,0,0.99,LoL/Kindred
we know your name,0,0.987,LoL/Kindred
we have always known it,0,0.989,LoL/Kindred
such befalls all who bear our mark,1,0.984,LoL/Kindred
all life is temporary,1,0.966,LoL/Kindred
that was a good chase,0,0.99,LoL/Kindred
hahahahaha that was fun,0,0.99,LoL/Kindred
what do all stories have in common dear wolf,0,0.915,LoL/Kindred
we take our mark,0,0.986,LoL/Kindred
only to place it elsewhere,0,0.974,LoL/Kindred
no match for me,0,0.987,LoL/Kindred
always dear wolf,0,0.966,LoL/Kindred
what folly it is to snatch our marks,1,0.934,LoL/Kindred
that was meant to be ours,0,0.91,LoL/Kindred
no that was mine,0,0.988,LoL/Kindred
how fast can you run,0,0.987,LoL/Kindred
you steal from us,1,0.921,LoL/Kindred
i will eat it,0,0.988,LoL/Kindred
savour lifes closing act,0,0.939,LoL/Kindred
not here not yet,0,0.986,LoL/Kindred
return to nothing,0,0.91,LoL/Kindred
well hunted dear wolf,1,0.905,LoL/Kindred
all things great and small,0,0.987,LoL/Kindred
it meets us,0,0.985,LoL/Kindred
no match for us,0,0.987,LoL/Kindred
the chase ends,0,0.975,LoL/Kindred
forged in a land unwelcome to us,1,0.986,LoL/Kindred
it courses with stolen lives,1,0.986,LoL/Kindred
for us or them,0,0.963,LoL/Kindred
sharp enough to slice the veil between life and death,1,0.982,LoL/Kindred
they will see two of me,0,0.99,LoL/Kindred
lamb plays an instrument,0,0.991,LoL/Kindred
the weft and weave of fate guides,1,0.98,LoL/Kindred
the hunt is back on,0,0.981,LoL/Kindred
mark of the kindred enemy marking sfx,1,0.973,LoL/Kindred
mark of the kindred enemy marking sfx,1,0.973,LoL/Kindred
mark of the kindred enemy marking sfx,1,0.973,LoL/Kindred
mark of the kindred enemy marking sfx,1,0.973,LoL/Kindred
lambs respite buff sfx,0,0.988,LoL/Kindred
lambs respite buff sfx,0,0.988,LoL/Kindred
lambs respite buff sfx,0,0.988,LoL/Kindred
lambs respite buff sfx,0,0.988,LoL/Kindred
lambs respite buff sfx,0,0.988,LoL/Kindred
lambs respite end sfx,0,0.99,LoL/Kindred
lambs respite end sfx,0,0.99,LoL/Kindred
lambs respite end sfx,0,0.99,LoL/Kindred
lambs respite end sfx,0,0.99,LoL/Kindred
lambs respite end sfx,0,0.99,LoL/Kindred
lambs respite heal sfx,0,0.977,LoL/Kindred
lambs respite heal sfx,0,0.977,LoL/Kindred
lambs respite heal sfx,0,0.977,LoL/Kindred
lambs respite heal sfx,0,0.977,LoL/Kindred
lambs respite heal sfx,0,0.977,LoL/Kindred
lambs respite heal sfx,0,0.977,LoL/Kindred
and everywhere lamb went  wolf was sure to follow,1,0.98,LoL/Kindred
embrace the darkness,1,0.984,LoL/Nocturne
afraid of the dark,1,0.986,LoL/Nocturne
people are flames to be blotted out,1,0.947,LoL/Nocturne
are you getting tired yet,0,0.972,LoL/Nocturne
swim in terror,1,0.983,LoL/Nocturne
afraid of the dark,1,0.986,LoL/Nocturne
cut them from this world,1,0.986,LoL/Nocturne
dripdrop the sound of blood,1,0.971,LoL/Nocturne
help is not coming,0,0.991,LoL/Nocturne
nocturne laughs threateningly,0,0.983,LoL/Nocturne
ancient was our kind when this world began,1,0.981,LoL/Nocturne
a dark cloud descends,1,0.949,LoL/Nocturne
a blight takes this land,1,0.972,LoL/Nocturne
the first are we the last are we,1,0.974,LoL/Nocturne
long have we waited,0,0.952,LoL/Nocturne
a trail manifests,0,0.97,LoL/Nocturne
scanning failure is your destiny,1,0.988,LoL/Nocturne
we see all we know all we are stuck,1,0.962,LoL/Nocturne
deprive them of life,1,0.97,LoL/Nocturne
despair in our presence,1,0.985,LoL/Nocturne
they pose unacceptable risk,0,0.962,LoL/Nocturne
their existence is a mistake,1,0.932,LoL/Nocturne
no further meddling,0,0.96,LoL/Nocturne
so it must be,0,0.984,LoL/Nocturne
they are right to fear,1,0.962,LoL/Nocturne
pierce the veil,1,0.94,LoL/Nocturne
we shall restore,0,0.912,LoL/Nocturne
to the point of origin,0,0.952,LoL/Nocturne
our time is without end,1,0.956,LoL/Nocturne
nocturne laughs threateningly,0,0.983,LoL/Nocturne
i got your darkness,1,0.971,LoL/Nocturne
i got your darkness,1,0.971,LoL/Nocturne
whos in the dark now,1,0.972,LoL/Nocturne
its a trap,0,0.957,LoL/Nocturne
organic life is nothing but a genetic mutation an accident,1,0.972,LoL/Nocturne
you cannot escape your destiny,1,0.979,LoL/Nocturne
my heart was already broken,1,0.946,LoL/Viego
she waits for me beyond the mist my queen my love my black and broken heart,1,0.99,LoL/Viego
no price is too great no atrocity beyond my reach for heri will do anything,1,0.991,LoL/Viego
submission or death for all who live in the end it matters not i will see her face again,1,0.991,LoL/Viego
it hurts my heart it hurts so much,1,0.924,LoL/Viego
i want precious little yet i am forced to kill for it,1,0.971,LoL/Viego
soon this long cruel night will end but not yet,1,0.984,LoL/Viego
my forces scour the world nothing will escape,1,0.991,LoL/Viego
she was the star that lit my path without her darkness,1,0.99,LoL/Viego
what is a wraith but the ravenous shadow of a man,1,0.991,LoL/Viego
stand against me call me villain die,1,0.991,LoL/Viego
i will take and take until there is nothing left but her,1,0.918,LoL/Viego
the shadow isles are just the beginning,1,0.91,LoL/Viego
the mist is my great unending sadness,1,0.986,LoL/Viego
her eyes were portraits of a world without my cruelty,1,0.989,LoL/Viego
what is lost is never lost to me,1,0.988,LoL/Viego
this mist has but one cure and i will find her,1,0.971,LoL/Viego
and so it was that love was the gravest sin of all,1,0.989,LoL/Viego
there is no salvation from the dark for the dark is me,1,0.993,LoL/Viego
isolde is gone yet i remain,1,0.915,LoL/Viego
i am already a monster suited for the horrors i must inflict,1,0.992,LoL/Viego
the world denied my happiness now all will die,1,0.992,LoL/Viego
isolde was my life viego died when she did and the ruined king was born,1,0.991,LoL/Viego
the black mist flows from me like a tide at times it ebbs but now we surge forward,1,0.988,LoL/Viego
a world that would rob me of beauty is a world that deserves destruction,1,0.993,LoL/Viego
hate me if you must until she returns to my arms all will be brought to ruin,1,0.992,LoL/Viego
i will rip her from the jaws of death fate cannot stop me nothing can,1,0.991,LoL/Viego
a crown lost long ago reborn in unlife ripped away from his only love,1,0.992,LoL/Viego
urdemon when all life ends you will return to your slumber,1,0.99,LoL/Viego
your god could not stop me before sea priestess do not challenge me again,1,0.956,LoL/Viego
you will never have your vengeance kalista never,1,0.988,LoL/Viego
sing karthus sing of all that must be lost and she who must be found,1,0.992,LoL/Viego
answer for your crimes death answer me,1,0.989,LoL/Viego
go on then tree defeat me if you can it will never restore the isles,1,0.987,LoL/Viego
your treachery does not surprise me thresh only that you believed youd win,1,0.985,LoL/Viego
ah the monk from the waters and someone else isolde,1,0.986,LoL/Viego
you stand in the way of my love a mistake,1,0.988,LoL/Viego
sorry went down the wrong pipe,0,0.985,LoL/Viego
fall beneath my blade,1,0.982,LoL/Viego
deny me no longer,1,0.925,LoL/Viego
serve me in death,1,0.987,LoL/Viego
my love my love,0,0.972,LoL/Viego
where is she,0,0.99,LoL/Viego
die for her,1,0.919,LoL/Viego
anything for her,0,0.99,LoL/Viego
the mist devours all,1,0.989,LoL/Viego
why do you fight,0,0.981,LoL/Viego
ruin to all,0,0.966,LoL/Viego
all shall know my pain,1,0.982,LoL/Viego
stand aside churl,0,0.972,LoL/Viego
the mist beckons,1,0.984,LoL/Viego
i will break your heart,1,0.954,LoL/Viego
you face the ruined king,1,0.986,LoL/Viego
be one with the mist,1,0.987,LoL/Viego
i must have her back,0,0.973,LoL/Viego
bring her back,0,0.968,LoL/Viego
return her to me,0,0.923,LoL/Viego
you dare face a king,1,0.954,LoL/Viego
she would want this,0,0.99,LoL/Viego
tell me where she is,0,0.983,LoL/Viego
be brought to ruin,1,0.981,LoL/Viego
my heart beckons,1,0.942,LoL/Viego
grant me passage,0,0.901,LoL/Viego
flow from me,0,0.988,LoL/Viego
where is she,0,0.99,LoL/Viego
your pain is nothing compared to mine,1,0.965,LoL/Viego
the dead will not rest until i am whole once more,1,0.991,LoL/Viego
every living thing is my subject,1,0.976,LoL/Viego
love is cruel yet it will conquer,1,0.993,LoL/Viego
i will find my love again you matter so little,1,0.966,LoL/Viego
the weight of this moment is so much more than you,1,0.936,LoL/Viego
this flesh will do,1,0.977,LoL/Viego
in death as in life hecarim you will fight only for me,1,0.992,LoL/Viego
you never believed in my rule kalista and now this is your fate,1,0.975,LoL/Viego
arise death and greet the king who conquered you back,1,0.987,LoL/Viego
you are simply the latest to defy me jailer,1,0.961,LoL/Viego
so angry uncle it was one unanswered letter a thousand years ago,1,0.918,LoL/Viego
i demand this,0,0.99,LoL/Viego
no power in this world can stop me,1,0.953,LoL/Viego
you will serve,0,0.982,LoL/Viego
kill them kill them all,1,0.985,LoL/Viego
now do as i say forward,0,0.986,LoL/Viego
all this carnage do you see i do it for you,1,0.977,LoL/Viego
she will reign again at my side and i shall be ruined no more,1,0.991,LoL/Viego
the mist will consume all my victory is simply a matter of time,1,0.99,LoL/Viego
i cast myself upon this broken throne awaiting her return,1,0.985,LoL/Viego
an instrumental version of aftershock plays,0,0.966,LoL/Viego
a piano part of viegos theme plays,0,0.978,LoL/Viego
the ruination cannot end not yet,1,0.984,LoL/Viego
no she remains in this world i can feel it,1,0.984,LoL/Viego
in a world without love death means nothing,1,0.987,LoL/Viego
this form is nothing to me,0,0.98,LoL/Viego
fight puppet fight for your king,1,0.915,LoL/Viego
ambient music plays,0,0.99,LoL/Viego
ambient music plays,0,0.99,LoL/Viego
ambient music plays,0,0.99,LoL/Viego
ambient music plays,0,0.99,LoL/Viego
ambient music plays,0,0.99,LoL/Viego
ambient music plays,0,0.99,LoL/Viego
ambient music plays,0,0.99,LoL/Viego
ambient music plays,0,0.99,LoL/Viego
ambient music plays,0,0.99,LoL/Viego
shes returned to me binated soul and soon shell be a shade no longer,1,0.991,LoL/Viego
these wretched souls fight only for themselvesifight for her,1,0.989,LoL/Viego
i close my eyes and see her this soul before me a tormented memory,1,0.986,LoL/Viego
each battle fought on my sacred ground an unwitting sacrifice to a slumbering god,1,0.986,LoL/Viego
the eye granted me unmatched power but all its strength means nothing without her,1,0.989,LoL/Viego
i had no strength save the strength i found in her,1,0.942,LoL/Viego
and so the fight begins,0,0.928,LoL/Viego
ive seen every movenone have impressed me,0,0.973,LoL/Viego
my heart is heavy but my soulmy soulis on fire,1,0.99,LoL/Viego
forged by loss tempered by the eye,1,0.986,LoL/Viego
all the souls in the world for her,1,0.969,LoL/Viego
your souls desire next to mine insignificant,1,0.99,LoL/Viego
it was her beauty that woke me not the eye but her,1,0.973,LoL/Viego
these lands would make a fine place for a tournament,0,0.98,LoL/Viego
no rule says the hostcantenter thetourney,0,0.973,LoL/Viego
glory in the ring fadesloveis eternal,1,0.988,LoL/Viego
i looked in her eyes and saw love eternal,1,0.941,LoL/Viego
even in lands beyond our own our souls cannot dissever,1,0.992,LoL/Viego
each fight eachsacrifice is for you isolde,1,0.987,LoL/Viego
viego has entered the arena,0,0.969,LoL/Viego
you are bound to me isolde the eye willed it,1,0.991,LoL/Viego
faceless benefactor uncharitable host shattered soul,1,0.906,LoL/Viego
only a failure abandons his heart,1,0.988,LoL/Viego
isolde is broken but i i can fix her,0,0.943,LoL/Viego
not slave to the eye i am the gods equal,1,0.982,LoL/Viego
the lands beyond cannot containhertrue soul viego huffs in despair she waits for me while my torturous hours tick by,1,0.989,LoL/Viego
it called to me the oneeyed godi alone was chosen,1,0.985,LoL/Viego
gaze not upon me this eye emblazoned on my chest will gaze back,1,0.983,LoL/Viego
why should power only be granted to those whoearnit fairness an excuse of the weak,1,0.98,LoL/Viego
i feel no pity for the ones who fight beneath me their souls are a fair trade for spectacle,1,0.99,LoL/Viego
the promise of the eye clouds all fighters judgements butmyvision is clear,1,0.972,LoL/Viego
souls arrive in droves tofightfor my approval for my prize for my love,1,0.982,LoL/Viego
all the riches of my tournament the profits of the world do a soulless man no favors,1,0.986,LoL/Viego
ahh a challenger approaches,0,0.981,LoL/Viego
you call that an entrance pathetic,0,0.917,LoL/Viego
a fighter i draw my sword in your name isolde,1,0.928,LoL/Viego
i can sense your soul all that powerwastedon a wretch,1,0.99,LoL/Viego
youve caught my eye fightercome test your skill,0,0.982,LoL/Viego
tread carefully challengertourneyrules do not apply here,0,0.956,LoL/Viego
we are alike evelynn subject to an uncaring world but given a chance to tip the scales,1,0.984,LoL/Viego
you could have saved her gwen had you been alive when she was was lost you could have saved my love,1,0.941,LoL/Viego
i admire your showmanship jhin from one fighter to another good luck,0,0.98,LoL/Viego
youve seen her pyke my isolde tell me where she lies,1,0.955,LoL/Viego
samira no training can prepare you for your reckoning the eye will laywasteto you,1,0.991,LoL/Viego
your muscle does little to mask the petulant child beneath sett,1,0.925,LoL/Viego
shaco my old friend your betrayal is predictable,1,0.98,LoL/Viego
viego shouts sharply in effort,0,0.966,LoL/Viego
