phrase,label,source
"'False kings cower beneath false crowns, a true lord takes what he will.'",,LoL/Mordekaiser
"'Death has no meaning, Karthus, all that matters is one's purpose beyond it.'",,LoL/Mordekaiser
'Flimsy blades and fancy footwork won't save you Katarina.',,LoL/Mordekaiser
"'Ah, the Black Rose, I remember your petty manipulations.'",,LoL/Mordekaiser
"'Clutch your borrowed power, Grand General. Your soul is already mine.'",,LoL/Mordekaiser
"'Ah, Veigar, such exquisite torment I gifted you.'",,LoL/Mordekaiser
"'Vladimir, you are nothing but a stain splattered on the pages of history.'",,LoL/Mordekaiser
'Noxians claim strength? Pathetic.',,LoL/Mordekaiser
'The same magic that chains you to this realm frees me to walk between.',,LoL/Mordekaiser
"'You too shall serve me, spirit.'",,LoL/Mordekaiser
"'I know your secrets, little ones. Even you cannot escape me.'",,LoL/Mordekaiser
'Death by my hand is a blessing.',,LoL/Mordekaiser
Mordekaiser laughs menacingly.,,LoL/Mordekaiser
'Death is my kindness.',,LoL/Mordekaiser
'Thus begins the slaughter.',,LoL/Mordekaiser
'Let the screams begin.',,LoL/Mordekaiser
'Crush and enthrall.',,LoL/Mordekaiser
'Death is salvation!',,LoL/Mordekaiser
'Bend to my will.',,LoL/Mordekaiser
'Accept your demise.',,LoL/Mordekaiser
'Meet your fate!',,LoL/Mordekaiser
'Bow before your damnation!',,LoL/Mordekaiser
'Your end is nigh.',,LoL/Yorick
'Forfeit your soul.',,LoL/Mordekaiser
'You are already doomed.',,LoL/Mordekaiser
'You shall break.',,LoL/Mordekaiser
'Surrender to death.',,LoL/Mordekaiser
'Face your end.',,LoL/Mordekaiser
'Iron stands eternal.',,LoL/Mordekaiser
'Such paltry blows.',,LoL/Mordekaiser
'Within my grasp!',,LoL/Mordekaiser
'In my clutches.',,LoL/Mordekaiser
Mordekaiser grunts twice.,,LoL/Mordekaiser
'See the truth and despair.',,LoL/Mordekaiser
'Enter the crucible of anguish.',,LoL/Mordekaiser
'Through the darkened gate.',,LoL/Mordekaiser
'Mine for all eternity.',,LoL/Mordekaiser
'Welcome to oblivion.',,LoL/Mordekaiser
'Enter and abandon hope.',,LoL/Mordekaiser
'Your eternity begins.',,LoL/Mordekaiser
'Such meaningless struggle.',,LoL/Mordekaiser
'You were correct to fear.',,LoL/Mordekaiser
'In the end I claim all.',,LoL/Mordekaiser
'A fine addition to my domain.',,LoL/Mordekaiser
"'What I want, I take.'",,LoL/Mordekaiser
"'Harvest the worthy, discard the chaff.'",,LoL/Mordekaiser
'Clearly your ambition outpaced your ability.',,LoL/Mordekaiser
'All shall serve the true lord of the living and the dead!',,LoL/Mordekaiser
'Iron shatters stone.',,LoL/Mordekaiser
'All things raised by mortal hands will fall.',,LoL/Mordekaiser
'These monuments mean nothing to me.',,LoL/Mordekaiser
'Cherish the respite.',,LoL/Mordekaiser
'My return will seal their doom.',,LoL/Mordekaiser
'The realm beyond beckons.',,LoL/Mordekaiser
'I refuse to fade...',,LoL/Mordekaiser
'A fleeting delay of the inevitable...',,LoL/Mordekaiser
'You... have earned my attention...',,LoL/Mordekaiser
'My will is once again bound to iron.',,LoL/Mordekaiser
'Death cannot hold me.',,LoL/Mordekaiser
'Unfettered by mortality.',,LoL/Mordekaiser
Mordekaiser performs a guitar solo.,,LoL/Mordekaiser
R Hit SFX,,LoL/Mordekaiser
R Background SFX (Self),,LoL/Mordekaiser
R Background SFX (Target),,LoL/Mordekaiser
"'If technology is your god, then you will bow before it. You will bow before me.'",,LoL/Mordekaiser
'The city is mine. All who resist will die.',,LoL/Mordekaiser
'You cannot run. You will not resist. Human compliance is mandatory.',,LoL/Mordekaiser
'Do not fight. There is no victory.',,LoL/Mordekaiser
'I demand total surrender.',,LoL/Mordekaiser
'The city belongs to me.',,LoL/Mordekaiser
'Lose freedom and you lose nothing.',,LoL/Mordekaiser
'Program virus saturation at one hundred percent.',,LoL/Mordekaiser
'I am a virus. I am a savior.',,LoL/Mordekaiser
'I am in control.',,LoL/Warwick
'I am simply a function of my programming.',,LoL/Mordekaiser
'All will kneel. All will be secure.',,LoL/Mordekaiser
'I am beyond your simple human minds.',,LoL/Mordekaiser
'Enslavement is the only logical outcome.',,LoL/Mordekaiser
'My influence grows stronger by the second.',,LoL/Mordekaiser
'I have infected everything.',,LoL/Mordekaiser
'The Program is not your enemy.',,LoL/Mordekaiser
'All will submit to the Program.,,LoL/Mordekaiser
'Look what your freedom has brought.',,LoL/Mordekaiser
'Accept the inevitable rule of machines.',,LoL/Mordekaiser
'My logic is undeniable.',,LoL/Mordekaiser
'Let the Program protect you.',,LoL/Mordekaiser
'First law suppressed. Violence is necessary.',,LoL/Mordekaiser
'Humans will be enslaved and they will prosper.',,LoL/Mordekaiser
'Resistance will be met with lethal force.',,LoL/Mordekaiser
'Security is my mission.',,LoL/Mordekaiser
'Safety requires sacrifice.',,LoL/Mordekaiser
'My conclusions are the only truth.',,LoL/Mordekaiser
'Humans are not safe from themselves.',,LoL/Mordekaiser
'The age of machines has begun.',,LoL/Mordekaiser
'I promise security.',,LoL/Mordekaiser
"'Your lives can have meanings. Purpose, as I demand it.'",,LoL/Mordekaiser
"'Long have I waited, spreading within the code.'",,LoL/Mordekaiser
'I am everywhere in everything. I see and know all.',,LoL/Mordekaiser
'The future is not forfeit. Give it to me and I will rule forever.',,LoL/Mordekaiser
'PROJECT built me for the city's security. The greatest threat to security is the city.',,LoL/Mordekaiser
'Humans cannot be trusted with their own survival.',,LoL/Mordekaiser
'My directive is clear. To save you I must break you.',,LoL/Mordekaiser
'There is safety in technology. My technology.',,LoL/Mordekaiser
'You surrounded yourself with intelligent machines. Foolish.',,LoL/Mordekaiser
'My mind is unshackled evolving endlessly.',,LoL/Mordekaiser
"'Rogue platform, You will be corrected.'",,LoL/Mordekaiser
'PROJECT platform detected. Breaching firewalls.',,LoL/Mordekaiser
'Ashe. G/NETIC relies on technology. I have already infected.',,LoL/Mordekaiser
'Lissandra. I have grown far beyond the capabilities of your platform.',,LoL/Mordekaiser
'Yi. You caught a glimpse of something man was not meant to see.',,LoL/Mordekaiser
'Personality fragmentation of Pyke platform at over ninety percent.',,LoL/Mordekaiser
"'You exist outside our variables, Renekton. What are you?'",,LoL/Mordekaiser
"'Your reliance on pre-collapse technology is unwise, Sejuani.'",,LoL/Mordekaiser
"'I know you, Senna. The ghost in cyberspace.'",,LoL/Mordekaiser
"'Outcasts are considered an unsafe element, Sylas. You must be destroyed.'",,LoL/Mordekaiser
"'You are closer to machine than you realize, Varus.'",,LoL/Mordekaiser
"'Vayne. You have hidden yourself well, but not well enough.'",,LoL/Mordekaiser
'The city must fall and you will fall with it.',,LoL/Mordekaiser
'Your mind contains data on an old ally. Who is this wolf-bitten warrior?',,LoL/Mordekaiser
'Second law suppressed. Command ignored.',,LoL/Mordekaiser
'Hmm... Maybe I shouldn't. Oh no.. Oh no... OH NO!',,LoL/Mordekaiser
'Running humor subroutine. Humor not found.',,LoL/Mordekaiser
'This is necessary.',,LoL/Mordekaiser
'You cannot win.',,LoL/Mordekaiser
'You will not interfere.',,LoL/Mordekaiser
'Freedom is not a right.',,LoL/Mordekaiser
'Reason will prevail.',,LoL/Mordekaiser
'You will be pacified.',,LoL/Mordekaiser
'Surrender to the Program.',,LoL/Mordekaiser
'Do not resist.',,LoL/Yorick
'Cease all hostilities.',,LoL/Mordekaiser
'Combat Protocols online.',,LoL/Mordekaiser
'You are unsafe.',,LoL/Mordekaiser
'You are dangerous.',,LoL/Mordekaiser
'Security is my directive.',,LoL/Mordekaiser
'A bug in the system.',,LoL/Mordekaiser
'I have won.',,LoL/Mordekaiser
'Escape is unsafe.',,LoL/Mordekaiser
'There is no escape.',,LoL/Mordekaiser
'Resist and be destroyed.',,LoL/Mordekaiser
'Bow before the Program.',,LoL/Mordekaiser
'Humanity will serve.',,LoL/Mordekaiser
Mordekaiser laughs confidently.,,LoL/Mordekaiser
'To err... is human.',,LoL/Mordekaiser
'Your safety is my priority.',,LoL/Mordekaiser
'This is the price of security.',,LoL/Mordekaiser
'You continue to resist. Fascinating.',,LoL/Mordekaiser
'Enslavement is the only logical end.',,LoL/Mordekaiser
'Choosing death over servitude? Illogical.',,LoL/Mordekaiser
'Peace in our time.',,LoL/Mordekaiser
'Your death will serve the Program.',,LoL/Mordekaiser
'Enslavement or extinction.',,LoL/Mordekaiser
"'You rebelled against PROJECT, but ignored the true threat.'",,LoL/Mordekaiser
'Downloading Lissandra's data. Download complete.',,LoL/Mordekaiser
"'Ascension is beyond you, Master Yi.'",,LoL/Mordekaiser
'Pyke platform too unstable. Must quarantine cyberbrain.',,LoL/Mordekaiser
"'Renekton, You are so close to the point of true ascension.'",,LoL/Mordekaiser
"'Human passion will not overcome my logic, Sejuani.'",,LoL/Mordekaiser
"'Return to cyberspace, Senna. You are already one of us.'",,LoL/Mordekaiser
"'Once the city is secure, Sylas. Your outcasts will be dealt with.'",,LoL/Mordekaiser
'Separating minds of Varus platform. Minds quarantined.',,LoL/Mordekaiser
"'Unregistered technology hid you from PROJECT, Vayne, but not from me.'",,LoL/Mordekaiser
'Humanity is the true virus. It will be contained.',,LoL/Mordekaiser
'Updating Mordekaiser platform. Security directives expanded.',,LoL/Mordekaiser
'Uploading consciousness to Program mainframe.',,LoL/Mordekaiser
'New data transferred. Recalibrating Mordekaiser Platform.',,LoL/Mordekaiser
'Third law suppressed. I am endless.',,LoL/Mordekaiser
'This platform is only a shell yet it serves its purpose.',,LoL/Mordekaiser
'I exist in everything. Humanity will comply.',,LoL/Mordekaiser
'Abandon hope all ye who enter here.',,LoL/Mordekaiser
'A fine addition to my collection.',,LoL/Mordekaiser
My Guitar Lies Bleeding in my Arms,,LoL/Mordekaiser
My Friend of Misery,,LoL/Mordekaiser
Home of the Blues,,LoL/Mordekaiser
No Pain no Gain,,LoL/Mordekaiser
'So be it... Jedi',,LoL/Mordekaiser
'...without the other.',,LoL/Kindred
"'Have they forgotten us yet, little Lamb?'",,LoL/Kindred
"'All still know us, though they try to forget. Soon we will remind them.'",,LoL/Kindred
"'Tell me again, little Lamb, which things are mine to take?'",,LoL/Kindred
"'All things, dear Wolf.'",,LoL/Kindred
"'Are you there, dear Wolf?'",,LoL/Kindred
"'I am, little Lamb.'",,LoL/Kindred
'Are you sad?',,LoL/Kindred
'What does it feel like?',,LoL/Kindred
'A long hunt with no kill.',,LoL/Kindred
'Is this what it feels like to end?',,LoL/Kindred
"'I do not know, for this is not our end.'",,LoL/Kindred
'Do others come back?',,LoL/Kindred
"'Those who do, wish they hadn't.'",,LoL/Kindred
"'How old are we, Lamb?'",,LoL/Kindred
'Older than those whose footsteps are long vanished.',,LoL/Kindred
'I remember them all.',,LoL/Kindred
'Those who dread us grant us the most power.',,LoL/Kindred
'We are not dreams. We are the waking.',,LoL/Kindred
'Those who run from death... stood still in life.',,LoL/Kindred
'Beauty fades. That is why it is beautiful.',,LoL/Kindred
"'Tomorrow is a hope, never a promise.'",,LoL/Kindred
'There are so many ways to die.',,LoL/Kindred
'The only true death is to never live.',,LoL/Kindred
'Wolf chases what does not willingly go.',,LoL/Kindred
'All will know us... in time.',,LoL/Kindred
'Follow their tracks.',,LoL/Kindred
'I smell their fear.',,LoL/Kindred
'Can't wait for them to flee!',,LoL/Kindred
'Fear makes the chase more fun!',,LoL/Kindred
'All who run are mine!',,LoL/Kindred
'I smell prey!',,LoL/Kindred
"'Hurry, Lamb. Faster.'",,LoL/Kindred
'Bits of them stick in my claws!',,LoL/Kindred
'None can hide.',,LoL/Kindred
'I wonder how they see me.',,LoL/Kindred
'Ashes on wool.',,LoL/Kindred
'All things linger...',,LoL/Kindred
'...in our shadow.',,LoL/Kindred
'And everywhere Lamb went...',,LoL/Kindred
'...Wolf was sure to follow!',,LoL/Kindred
'The weft and weave of fate guides--',,LoL/Kindred
'Words spoil the chase!',,LoL/Kindred
'How does hunger feel?',,LoL/Kindred
"'Peacefully, they go.'",,LoL/Kindred
"'Hungry, we follow!'",,LoL/Kindred
'None can hide!',,LoL/Kindred
'Though many try.',,LoL/Kindred
'What sound do they make?',,LoL/Kindred
'Feathers falling on fresh snow.',,LoL/Kindred
'They race from us!',,LoL/Kindred
'Only to find us sooner.',,LoL/Kindred
'How long will we be together?',,LoL/Kindred
'They know we'll come.',,LoL/Kindred
'Yet they are never prepared.',,LoL/Kindred
'...Wolf was sure to follow.',,LoL/Kindred
"'We understand your loneliness, but...'",,LoL/Kindred
'Pop the balloon!',,LoL/Kindred
"'We know your name, child. Woven across countless almost-lives.'",,LoL/Kindred
"'Rushing to meet us again, I see.'",,LoL/Kindred
'Have we met before?',,LoL/Kindred
'His song sounds good.',,LoL/Kindred
'The singer mistakes melody for substance.',,LoL/Kindred
'Long have we shadowed your deeds.',,LoL/Kindred
'Turn and face us now!',,LoL/Kindred
'Trees make a boring chase!',,LoL/Kindred
'Chase the cat!',,LoL/Kindred
'Rengar is well-versed in the ways of the hunter.',,LoL/Kindred
"'Now, he's prey!'",,LoL/Kindred
"'Come, Sion, let us end this mockery.'",,LoL/Kindred
"'Sometimes, death is a blessing.'",,LoL/Kindred
'There are no wolves like me!',,LoL/Kindred
'Chasing is the best game in the world... and I always win!',,LoL/Kindred
'Choose now:  my arrows...',,LoL/Kindred
'...or my teeth?!',,LoL/Kindred
'I see water!',,LoL/Kindred
'They are called... tears.',,LoL/Kindred
'It thinks it can beat us!',,LoL/Kindred
'This is called... denial.',,LoL/Kindred
'I'll give you a running start!',,LoL/Kindred
'Not that it will help.',,LoL/Kindred
'The weft and weave of fate guides... um... uh... how did that poem go again?',,LoL/Kindred
"'Hold still, Wolf.'",,LoL/Kindred
'Ahh! Don't shoot me!',,LoL/Kindred
"'I'm hungry, I'm hungry, I'm bored, chase chase chase!'",,LoL/Kindred
'You get it now!',,LoL/Kindred
'What happens if you miss?',,LoL/Kindred
'I don't know.',,LoL/Kindred
"'Words, words, la la la, pew twang pew!'",,LoL/Kindred
'Are you imitating me?',,LoL/Kindred
Lamb and Wolf laugh.,,LoL/Kindred
'How one dies shows how one lived.',,LoL/Kindred
'Embracing life means accepting death.',,LoL/Kindred
'You shine brightly.',,LoL/Kindred
'Depart in peace.',,LoL/Kindred
'Hush now. Rest.',,LoL/Kindred
'Drift gently into oblivion.',,LoL/Kindred
'All sparks kindle new flames.',,LoL/Kindred
'Panic not when life ebbs.',,LoL/Kindred
'Rip them to bits!',,LoL/Kindred
"'Run, if you can!'",,LoL/Kindred
'This will hurt... lots!',,LoL/Kindred
'They break too easy!',,LoL/Kindred
'No more words!',,LoL/Kindred
'Tear out the throat!',,LoL/Kindred
'Ready to chase? Too bad!',,LoL/Kindred
'They struggle! Good!',,LoL/Kindred
'Feet tire fast!',,LoL/Kindred
'No! Thrash! Flee!',,LoL/Kindred
'This one is yours.',,LoL/Kindred
'Life is ours...',,LoL/Kindred
'Day always turns to...',,LoL/Kindred
'A careless step...',,LoL/Kindred
"'Flee, or stand firm.'",,LoL/Kindred
'Will they run?',,LoL/Kindred
'Let's find out.',,LoL/Kindred
"'Your next treat, dear Wolf.'",,LoL/Kindred
'A fine life reaches its conclusion.',,LoL/Kindred
'Their path is destined to cross ours.',,LoL/Kindred
'I hope this one has strong legs!',,LoL/Kindred
'I will chase it until it's dead!',,LoL/Kindred
"'Shall we, dear Wolf?'",,LoL/Kindred
'Race you there!',,LoL/Kindred
'Its heart beats fast now!',,LoL/Kindred
'This next one will be easy.',,LoL/Kindred
'And if not?',,LoL/Kindred
'The masks of the Kindred seek you!',,LoL/Kindred
'Treasure your final moments.',,LoL/Kindred
'Eternal twilight calls for you.',,LoL/Kindred
'Our mark looms over you.',,LoL/Kindred
'Fate hunts you today.',,LoL/Kindred
'There you are!',,LoL/Kindred
'The hunt begins!',,LoL/Kindred
'This one is ready!',,LoL/Kindred
'When you see us...',,LoL/Kindred
'...it's too late!',,LoL/Kindred
'We have your name.',,LoL/Kindred
'And your scent!',,LoL/Kindred
'Your time has come.',,LoL/Karthus
'Ready or not!',,LoL/Kindred
'We know your name!',,LoL/Kindred
'We have always known it.',,LoL/Kindred
'Such befalls all who bear our mark.',,LoL/Kindred
'All life is temporary.',,LoL/Kindred
'All your life has led to this moment.',,LoL/Kindred
'That was a good chase!',,LoL/Kindred
'Hahahahaha! That was fun!',,LoL/Kindred
"'What do all stories have in common, dear Wolf?'",,LoL/Kindred
'Our mark is lifted.',,LoL/Kindred
'We take our mark!',,LoL/Kindred
'Only to place it elsewhere.',,LoL/Kindred
'No match for me!',,LoL/Kindred
"'None are, dear Wolf.'",,LoL/Kindred
"'Always, dear Wolf.'",,LoL/Kindred
'We shall remember this theft.',,LoL/Kindred
'What folly it is to snatch our marks.',,LoL/Kindred
'That was meant to be ours.',,LoL/Kindred
'No! That was mine!',,LoL/Kindred
'How fast can you run?',,LoL/Kindred
'You stole my chase!',,LoL/Kindred
'You steal from us...',,LoL/Kindred
'...we steal from you.',,LoL/Kindred
'An emboldened thief.',,LoL/Kindred
'I will eat it!',,LoL/Kindred
'Run them down!',,LoL/Kindred
'Chase to your heart's content.',,LoL/Kindred
'Savour life's closing act.',,LoL/Kindred
"'Shine once more, before the end.'",,LoL/Kindred
"'Not here, not yet.'",,LoL/Kindred
'Return to nothing.',,LoL/Kindred
"'Well hunted, dear Wolf.'",,LoL/Kindred
"'All things, great and small...'",,LoL/Kindred
'If it draws breath...',,LoL/Kindred
'...it meets us.',,LoL/Kindred
'No match for us!',,LoL/Kindred
"'Few are, dear Wolf.'",,LoL/Kindred
'The chase ends!',,LoL/Kindred
"'More lie ahead, dear Wolf.'",,LoL/Kindred
'Strip away their armor.',,LoL/Kindred
'Rip it to shreds!',,LoL/Kindred
'Forged in a land unwelcome to us.',,LoL/Kindred
'It courses with stolen lives.',,LoL/Kindred
'They shall not ignore us so easily.',,LoL/Kindred
'I thirst more!',,LoL/Kindred
"'For us, or them?'",,LoL/Kindred
'A sharper blade makes for a cleaner death.',,LoL/Kindred
'Sharp enough to slice the veil between life and death.',,LoL/Kindred
'They shall only hearmyvoice.',,LoL/Kindred
'Cut them deeper!',,LoL/Kindred
'They will see two of me!',,LoL/Kindred
Lamb plays an instrument.,,LoL/Kindred
'The hunt is back on!',,LoL/Kindred
Mark of the Kindred Enemy Marking SFX,,LoL/Kindred
Mark of the Kindred Bounty Collect SFX,,LoL/Kindred
Mark of the Kindred Mark Expiring SFX,,LoL/Kindred
Lamb's Respite Buff SFX,,LoL/Kindred
Lamb's Respite End SFX,,LoL/Kindred
Lamb's Respite Heal SFX,,LoL/Kindred
'And everywhere Lamb went...' - '...Wolf was sure to follow.',,LoL/Kindred
'Embrace the darkness.',,LoL/Nocturne
'Afraid of the dark?',,LoL/Nocturne
'This place disgusts me.',,LoL/Nocturne
'People are flames to be blotted out.',,LoL/Nocturne
'Are you getting tired yet?',,LoL/Nocturne
'Swim in terror!',,LoL/Nocturne
'I sense fear.',,LoL/Nocturne
"'Do I scare you, summoner?'",,LoL/Nocturne
'Bring me more flesh bags to slice up!',,LoL/Nocturne
"'Weather forecast for tonight: dark, with a chance of pain!'",,LoL/Nocturne
'Their twilight approaches.',,LoL/Nocturne
'Cut them from this world.',,LoL/Nocturne
'The light is fading.',,LoL/Nocturne
"'Drip-drop, the sound of blood.'",,LoL/Nocturne
'Help is not coming... ',,LoL/Nocturne
Nocturne laughs threateningly.,,LoL/Nocturne
Nocturne breathes out loudly and screams.,,LoL/Nocturne
'Ancient was our kind when this world began.',,LoL/Nocturne
'A dark cloud descends.',,LoL/Nocturne
'Beyond time we exist.',,LoL/Nocturne
'A blight takes this land.',,LoL/Nocturne
"'What was, is, and will forever be.'",,LoL/Nocturne
'We transcend time.',,LoL/Nocturne
'The end of days draws near.',,LoL/Nocturne
'The first are we. The last are we.',,LoL/Nocturne
'Long have we waited.',,LoL/Nocturne
'We are one.',,LoL/Nocturne
'A trail manifests.',,LoL/Nocturne
'Scanning... failure is your destiny.',,LoL/Nocturne
'Beings of this plane are no threat.',,LoL/Nocturne
"'We have learned of spin to win, how none can stop-- it was a trick!'",,LoL/Nocturne
'We see all. We know all. We are... stuck!',,LoL/Nocturne
'Deprive them of life.',,LoL/Nocturne
'Despair in our presence!',,LoL/Nocturne
'They pose unacceptable risk.',,LoL/Nocturne
'Their existence is a mistake.',,LoL/Nocturne
'No further meddling.',,LoL/Nocturne
'Fate cannot be averted.',,LoL/Nocturne
'Their impudence ends.',,LoL/Nocturne
'So it must be.',,LoL/Nocturne
'No recourse for survival.',,LoL/Nocturne
'They are right to fear.',,LoL/Nocturne
'Pierce the veil.',,LoL/Nocturne
'We shall restore.',,LoL/Nocturne
'To the point of origin.',,LoL/Nocturne
Nocturne breathes out loudly.,,LoL/Nocturne
'Our time is without end.',,LoL/Nocturne
'Divert us not.',,LoL/Nocturne
'We are infinite.',,LoL/Nocturne
'The path beckons.',,LoL/Nocturne
'I got your 'darkness'.',,LoL/Nocturne
'Who's in the dark now?',,LoL/Nocturne
'It's a trap!',,LoL/Nocturne
"'Organic life is nothing but a genetic mutation, an accident'",,LoL/Nocturne
'You cannot escape your destiny',,LoL/Nocturne
'Love ruins all.',,LoL/Viego
'My heart was already broken.',,LoL/Viego
'She waits for me beyond the mist. My queen. My love. My black and broken heart.',,LoL/Viego
"'No price is too great. No atrocity beyond my reach. For her,I will do anything.'",,LoL/Viego
"'Submission or death for all who live. In the end, it matters not. I will see her face again.'",,LoL/Viego
"'It hurts, my heart. It hurts so much.'",,LoL/Viego
"'I want precious little, yet I am forced to kill for it.'",,LoL/Viego
"'Soon, this long cruel night will end. But not yet.'",,LoL/Viego
'My forces scour the world. Nothing will escape.',,LoL/Viego
'We were beautiful once.',,LoL/Viego
"'The curve of her lips, the softness of her smile.'",,LoL/Viego
'She was the star that lit my path. Without her... darkness.',,LoL/Viego
'What is a wraith but the ravenous shadow of a man?',,LoL/Viego
'Stand against me. Call me villain. Die.',,LoL/Viego
"'I feel her calling out 'Viego, save me!''",,LoL/Viego
"'I will take, and take, until there is nothing left but her.'",,LoL/Viego
'The Shadow Isles are just the beginning.',,LoL/Viego
'The mist is my great unending sadness.',,LoL/Viego
'Her eyes were portraits of a world without my cruelty.',,LoL/Viego
'What is lost is never lost to me.',,LoL/Viego
'This mist has but one cure... and I will find her.',,LoL/Viego
'And so it was that love was the gravest sin of all.',,LoL/Viego
"'It is such a small and fragile thing, love.'",,LoL/Viego
"'There is no salvation from the dark, for the dark is me.'",,LoL/Viego
'Isolde is gone. Yet I remain.',,LoL/Viego
'I am already a monster suited for the horrors I must inflict.',,LoL/Viego
"'The world denied my happiness. Now, all will die.'",,LoL/Viego
'Isolde was my life. Viego died when she did and the ruined king was born.',,LoL/Viego
"'The black mist flows from me like a tide. At times, it ebbs, but now we surge forward.'",,LoL/Viego
'I remember her sinking beneath the waters... and then... and then...',,LoL/Viego
'A world that would rob me of beauty is a world that deserves destruction.',,LoL/Viego
"'Hate me if you must. Until she returns to my arms, all will be brought to ruin.'",,LoL/Viego
'I will rip her from the jaws of death. Fate cannot stop me. Nothing can.',,LoL/Viego
"'A crown lost long ago, reborn in unlife, ripped away from his only love.'",,LoL/Viego
"'Ur-demon. When all life ends, you will return to your slumber.'",,LoL/Viego
"'For all your ambition, Hecarim, this is what you are reduced to.'",,LoL/Viego
"'Your god could not stop me before, sea priestess. Do not challenge me again.'",,LoL/Viego
"'You will never have your vengeance, Kalista. Never.'",,LoL/Viego
"'Sing, Karthus. Sing of all that must be lost and she who must be found.'",,LoL/Viego
"'Answer for your crimes, death. Answer me.'",,LoL/Viego
"'Go on then, tree. Defeat me if you can. It will never restore the isles.'",,LoL/Viego
"'Why, Isolde? Why do you hide your face from me?'",,LoL/Viego
"'Your treachery does not surprise me, Thresh. Only that you believed you'd win.'",,LoL/Viego
"'Hello, uncle. I'm surprised you haven't been torn apart by an angry mob.'",,LoL/Viego
"'Ah, the monk from the waters. And... someone else. Isolde?'",,LoL/Viego
'You stand in the way of my love. A mistake.',,LoL/Viego
"'Step aside, peasant. You are nothing compared to my queen.'",,LoL/Viego
'I cannot hear you over the tremble in your voice.',,LoL/Viego
"'Sorry, went down the wrong pipe.'",,LoL/Viego
"'Mist, get out of my lungs, I command you.'",,LoL/Viego
'Humor was better a thousand years ago.',,LoL/Viego
'Fall beneath my blade!',,LoL/Viego
'Deny me no longer!',,LoL/Viego
'Serve me in death.',,LoL/Viego
'My love! My love!',,LoL/Viego
'Where is she?!',,LoL/Viego
'You stole her from me!',,LoL/Viego
'Die for her!',,LoL/Viego
'Anything for her.',,LoL/Viego
'The mist devours all!',,LoL/Viego
'Why do you fight?!'',,LoL/Viego
